id_contractor,permits_total,permits_recent,permits_prior,latest_permit_date,earliest_permit_date,total_value,avg_value,top_permit_types,Synthetic
nan,202,202,0,2000-12-28,2000-01-07,2930840.0,38062.857142857145,"Mechanical (34), Parent (31), Electrical (26)",False
o5OnW8,37,37,0,2000-12-29,2000-02-10,0.0,0.0,"Plumbing (28), plumbing (9)",False
5LbLpk,27,27,0,2000-12-19,2000-01-03,5336799.0,197659.22222222222,"Single family residence (new) (26), Fence cvt: conversion type (1)",False
8G49g9,23,23,0,2000-10-16,2000-01-13,649921.0,72213.44444444444,"plumbing - residential (11), Plmg-res alt: alteration (4), Fence - commercial (3)",False
K5pK9B,15,15,0,2000-12-07,2000-02-15,1821016.0,140078.15384615384,"Single family residence (new) (13), Fence - commercial (2)",False
2Km3dP,11,11,0,2000-11-10,2000-01-17,2176947.0,197904.27272727274,Single family residence (new) (11),False
YZ5Yb8,11,11,0,2000-11-22,2000-01-04,1713873.0,155806.63636363635,"Single family residence v-n (6), Single family residence (new) (5)",False
p7LyY6,11,11,0,2000-08-28,2000-02-28,186500.0,23312.5,"Parent (3), Residential building (3), plumbing - residential (3)",False
EgN4bb,10,10,0,2000-12-27,2000-04-04,1131598.0,113159.8,"Single family residence (new) (9), Single family residence v-n (1)",False
9NWZg9,9,9,0,2000-08-07,2000-03-03,135193.0,22532.166666666668,"Swimming pool - commercial (6), Electrical (2), Electrical - residential (1)",False
KkyrV6,9,9,0,2000-09-22,2000-02-14,212500.0,23611.11111111111,"Swimming pool - commercial (7), Pool new: new construction (2)",False
NDZ7rr,9,9,0,2000-11-01,2000-01-26,1700.0,1700.0,"plumbing (8), Parent (1)",False
o3pkg6,9,9,0,2000-06-05,2000-03-08,141800.0,23633.333333333332,"Parent (6), Residential building (3)",False
0yKZb3,8,8,0,2000-10-09,2000-05-01,,,Mechanical (8),False
6bl1xl,8,8,0,2000-10-26,2000-04-06,28000.0,7000.0,"Residential building (2), Plmg-res alt: alteration (1), Mechanical (1)",False
K5ry1l,8,8,0,2000-10-09,2000-05-01,161000.0,26833.333333333332,"Swimming pool - commercial (5), Electrical (2), Pool alt: alteration (1)",False
ZVppNa,8,8,0,2000-12-20,2000-01-27,0.0,0.0,"plumbing - residential (5), Plmg-res alt: alteration (2), Fence - commercial (1)",False
aDyDYy,8,8,0,2000-08-11,2000-02-01,1265522.0,158190.25,Single family residence (new) (8),False
m7q6l2,8,8,0,2000-08-22,2000-02-08,134800.0,26960.0,"Swimming pool - commercial (4), Electrical (3), Pool alt: alteration (1)",False
n9l92P,8,8,0,2000-11-16,2000-04-04,149500.0,29900.0,"Parent (5), Residential building (3)",False
BDZZA9,7,7,0,2000-12-12,2000-07-17,1041588.0,148798.2857142857,Single family residence (new) (7),False
Eg4y6A,7,7,0,2000-08-09,2000-04-03,,,Electrical (7),False
GrmY7q,6,6,0,2000-09-11,2000-02-28,122550.0,24510.0,"Swimming pool - commercial (4), plumbing (2)",False
KWEJOd,6,6,0,2000-12-29,2000-02-10,549072.0,109814.4,"Single family residence (new) (3), Residential building (1), Electrical - residential; Elec-res alt: alteration (1)",False
VaOVEY,6,6,0,2000-08-21,2000-04-06,865973.0,144328.83333333334,Single family residence (new) (6),False
ZrbNnX,6,6,0,2000-11-27,2000-02-16,,,"plumbing (5), Mechanical (1)",False
ZrbNpn,6,6,0,2000-05-24,2000-01-11,89000.0,22250.0,"Swimming pool - commercial (2), Residential building (2), Pool alt: alteration (1)",False
ZvWlPn,6,6,0,2000-12-06,2000-04-17,,,Electrical (6),False
bqk9w9,6,6,0,2000-10-20,2000-06-19,,,plumbing (6),False
d3Pz5x,6,6,0,2000-04-03,2000-02-24,130000.0,43333.333333333336,"Parent (3), Residential building (3)",False
